Time,src_ip,dst_ip,protocol,packet_length,info
2026-02-03 12:18:46.886315,95.100.86.213,192.168.1.4,DATA,70,"Packet (Length: 70)"
2026-02-03 12:18:47.104415,173.194.140.199,192.168.1.4,TCP,58,"Packet (Length: 58)"
2026-02-03 12:18:47.317418,192.168.1.4,142.250.185.3,TLS,55,"Packet (Length: 55)"
2026-02-03 12:18:47.375313,142.250.185.3,192.168.1.4,TCP,66,"Packet (Length: 66)"
2026-02-03 12:18:47.407636,N/A,N/A,ARP,42,"Packet (Length: 42)"
2026-02-03 12:18:48.335196,204.79.197.254,192.168.1.4,TCP,54,"Packet (Length: 54)"
2026-02-03 12:18:48.431625,N/A,N/A,ARP,42,"Packet (Length: 42)"
2026-02-03 12:18:48.487529,192.168.1.4,95.100.86.213,DATA,71,"Packet (Length: 71)"
2026-02-03 12:18:48.586106,95.100.86.213,192.168.1.4,DATA,70,"Packet (Length: 70)"
2026-02-03 12:18:49.102372,192.168.1.4,173.194.140.199,TLS,55,"Packet (Length: 55)"
2026-02-03 12:18:49.465900,173.194.140.199,192.168.1.4,TCP,58,"Packet (Length: 58)"
2026-02-03 12:18:49.976162,52.108.8.254,192.168.1.4,TCP,54,"Packet (Length: 54)"
2026-02-03 12:18:50.801158,192.168.1.4,142.250.185.10,TLS,55,"Packet (Length: 55)"
2026-02-03 12:18:51.791047,192.168.1.4,95.100.86.213,DATA,71,"Packet (Length: 71)"
2026-02-03 12:18:51.888763,95.100.86.213,192.168.1.4,DATA,70,"Packet (Length: 70)"
2026-02-03 12:18:52.947574,13.107.3.254,192.168.1.4,TCP,54,"Packet (Length: 54)"
2026-02-03 12:18:53.348360,95.100.86.213,192.168.1.4,DATA,112,"Packet (Length: 112)"
2026-02-03 12:18:53.409493,192.168.1.4,95.100.86.213,QUIC,1292,"Packet (Length: 1292)"
2026-02-03 12:18:53.409737,192.168.1.4,95.100.86.213,QUIC,1292,"Packet (Length: 1292)"
2026-02-03 12:18:53.554343,95.100.86.213,192.168.1.4,QUIC,86,"Packet (Length: 86)"
2026-02-03 12:18:53.556783,95.100.86.213,192.168.1.4,QUIC,1296,"Packet (Length: 1296)"
2026-02-03 12:18:53.558519,95.100.86.213,192.168.1.4,QUIC,1296,"Packet (Length: 1296)"
2026-02-03 12:18:53.561484,95.100.86.213,192.168.1.4,QUIC,303,"Packet (Length: 303)"
2026-02-03 12:18:53.562927,192.168.1.4,95.100.86.213,QUIC,1292,"Packet (Length: 1292)"
2026-02-03 12:18:53.563130,192.168.1.4,95.100.86.213,QUIC,115,"Packet (Length: 115)"
2026-02-03 12:18:53.649698,95.100.86.213,192.168.1.4,QUIC,349,"Packet (Length: 349)"
2026-02-03 12:18:53.653093,95.100.86.213,192.168.1.4,QUIC,102,"Packet (Length: 102)"
2026-02-03 12:18:53.653492,95.100.86.213,192.168.1.4,QUIC,67,"Packet (Length: 67)"
2026-02-03 12:18:53.653492,95.100.86.213,192.168.1.4,QUIC,116,"Packet (Length: 116)"
2026-02-03 12:18:53.653695,192.168.1.4,95.100.86.213,QUIC,73,"Packet (Length: 73)"
2026-02-03 12:18:53.653992,192.168.1.4,95.100.86.213,QUIC,73,"Packet (Length: 73)"
2026-02-03 12:18:53.654226,95.100.86.213,192.168.1.4,QUIC,71,"Packet (Length: 71)"
2026-02-03 12:18:53.864658,192.168.1.4,95.100.86.213,QUIC,71,"Packet (Length: 71)"
2026-02-03 12:18:53.943066,192.168.1.4,23.46.86.99,TLS,55,"Packet (Length: 55)"
2026-02-03 12:18:53.965670,95.100.86.213,192.168.1.4,QUIC,72,"Packet (Length: 72)"
2026-02-03 12:18:54.019545,23.46.86.99,192.168.1.4,TCP,66,"Packet (Length: 66)"
2026-02-03 12:18:54.174090,192.168.1.4,95.100.86.213,QUIC,71,"Packet (Length: 71)"
2026-02-03 12:18:54.372463,95.100.86.213,192.168.1.4,QUIC,72,"Packet (Length: 72)"
2026-02-03 12:18:54.438699,104.18.39.21,192.168.1.4,TLS,78,"Packet (Length: 78)"
2026-02-03 12:18:54.439097,192.168.1.4,104.18.39.21,TLS,82,"Packet (Length: 82)"
2026-02-03 12:18:54.517665,104.18.39.21,192.168.1.4,TCP,56,"Packet (Length: 56)"
2026-02-03 12:18:54.575822,192.168.1.4,95.100.86.213,QUIC,71,"Packet (Length: 71)"
2026-02-03 12:18:54.781998,95.100.86.213,192.168.1.4,QUIC,72,"Packet (Length: 72)"
2026-02-03 12:18:54.848203,204.79.197.222,192.168.1.4,TCP,54,"Packet (Length: 54)"
2026-02-03 12:18:54.986136,192.168.1.4,95.100.86.213,QUIC,71,"Packet (Length: 71)"
2026-02-03 12:18:55.189755,N/A,N/A,ARP,42,"Packet (Length: 42)"
2026-02-03 12:18:55.192379,95.100.86.213,192.168.1.4,QUIC,72,"Packet (Length: 72)"
2026-02-03 12:18:55.397836,192.168.1.4,95.100.86.213,QUIC,71,"Packet (Length: 71)"
2026-02-03 12:18:55.601229,95.100.86.213,192.168.1.4,QUIC,72,"Packet (Length: 72)"
2026-02-03 12:18:55.815386,192.168.1.4,95.100.86.213,QUIC,71,"Packet (Length: 71)"
2026-02-03 12:18:56.010683,95.100.86.213,192.168.1.4,QUIC,72,"Packet (Length: 72)"
2026-02-03 12:18:56.111618,N/A,N/A,ARP,42,"Packet (Length: 42)"
2026-02-03 12:18:56.415495,192.168.1.4,95.100.86.213,QUIC,71,"Packet (Length: 71)"
2026-02-03 12:18:56.625276,95.100.86.213,192.168.1.4,QUIC,72,"Packet (Length: 72)"
2026-02-03 12:18:56.626317,95.100.86.213,192.168.1.4,QUIC,1498,"Packet (Length: 1498)"
2026-02-03 12:18:56.665311,192.168.1.4,95.100.86.213,QUIC,74,"Packet (Length: 74)"
2026-02-03 12:18:57.427505,192.168.1.4,95.100.86.213,QUIC,71,"Packet (Length: 71)"
2026-02-03 12:18:57.546526,95.100.86.213,192.168.1.4,QUIC,70,"Packet (Length: 70)"
2026-02-03 12:18:57.556355,192.168.1.4,172.165.61.93,TLS,55,"Packet (Length: 55)"
2026-02-03 12:18:57.629339,172.165.61.93,192.168.1.4,TCP,66,"Packet (Length: 66)"
2026-02-03 12:18:59.082937,13.107.213.42,192.168.1.4,TLS,93,"Packet (Length: 93)"
2026-02-03 12:18:59.082937,13.107.213.42,192.168.1.4,TLS,78,"Packet (Length: 78)"
2026-02-03 12:18:59.083050,192.168.1.4,13.107.213.42,TCP,54,"Packet (Length: 54)"
2026-02-03 12:18:59.083629,192.168.1.4,13.107.213.42,TCP,54,"Packet (Length: 54)"
2026-02-03 12:18:59.089728,13.107.213.42,192.168.1.4,TCP,54,"Packet (Length: 54)"
2026-02-03 12:18:59.089818,192.168.1.4,13.107.213.42,TCP,54,"Packet (Length: 54)"
2026-02-03 12:18:59.140707,13.107.213.42,192.168.1.4,TCP,60,"Packet (Length: 60)"
2026-02-03 12:18:59.149957,192.168.1.4,95.100.86.213,QUIC,71,"Packet (Length: 71)"
2026-02-03 12:18:59.287308,95.100.86.213,192.168.1.4,QUIC,70,"Packet (Length: 70)"
2026-02-03 12:19:00.516100,13.107.213.42,192.168.1.4,TLS,93,"Packet (Length: 93)"
2026-02-03 12:19:00.516452,13.107.213.42,192.168.1.4,TLS,78,"Packet (Length: 78)"
2026-02-03 12:19:00.516509,192.168.1.4,13.107.213.42,TCP,54,"Packet (Length: 54)"
2026-02-03 12:19:00.516761,192.168.1.4,13.107.213.42,TCP,54,"Packet (Length: 54)"
2026-02-03 12:19:00.520284,13.107.213.42,192.168.1.4,TCP,54,"Packet (Length: 54)"
2026-02-03 12:19:00.520360,192.168.1.4,13.107.213.42,TCP,54,"Packet (Length: 54)"
2026-02-03 12:19:00.530520,13.107.213.42,192.168.1.4,TCP,54,"Packet (Length: 54)"
2026-02-03 12:19:00.530592,192.168.1.4,13.107.213.42,TCP,54,"Packet (Length: 54)"
2026-02-03 12:19:00.570738,13.107.213.42,192.168.1.4,TCP,60,"Packet (Length: 60)"
2026-02-03 12:19:02.461747,13.107.213.42,192.168.1.4,TLS,93,"Packet (Length: 93)"
2026-02-03 12:19:02.462039,13.107.213.42,192.168.1.4,TLS,78,"Packet (Length: 78)"
2026-02-03 12:19:02.462070,192.168.1.4,13.107.213.42,TCP,54,"Packet (Length: 54)"
2026-02-03 12:19:02.462152,192.168.1.4,13.107.213.42,TCP,54,"Packet (Length: 54)"
2026-02-03 12:19:02.462233,192.168.1.4,13.107.213.42,TCP,54,"Packet (Length: 54)"
